Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,collector_type_source,Hello and welcome to our short survey. Your answers are completely anonymous and will be grouped together with all others and not looked at on an individual basis. What is your gender?,What is your age?,Which of the following areas of Illinois do you live in?,"If there are any firearms in your home or in any of your household's vehicles, are they...","If you were to obtain a firearm, how would you most likely store it?","If there are any firearms in your HOME, how are they stored? (please choose all that apply)",,,,,,,"If there are any firearms in any of your household's VEHICLES, how are they stored? (Please choose all that apply)",,,,Are there any children or teens living in your home (permanently or occasionally)?,"When your children or teens visit friends or other homes, do you or someone else ever ask about the presence of firearms and how they are stored?","Are there any children or teens EVER VISITING your home (including grandchildren, other relatives, friends or others)?",Have you ever seen or heard information on how and why to store firearms safely?,Would you consider the area you live to be...?,Age,Device Type,Gender,Household Income,Region
118440977817,453292315,10/11/2023 02:03:45 PM,10/11/2023 02:05:24 PM,,,,,33b410c8dd7bed14eff36134fb,smc,Male,21-34,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",All locked,,,,Locked safe or case (not biometric),,,,,,Locked safe or case (not biometric) secured to vehicle,,,Yes,Yes,,Yes,Urban/city,18-29,Android Phone / Tablet,Male,"$125,000-$149,999",East North Central
118440976455,453292315,10/11/2023 02:02:48 PM,10/11/2023 02:04:01 PM,,,,,24ef2b8f01af4a3c3b5e7c3c4c,smc,Female,21-34,"North West or North Central (Rockford, DeKalb, Moline, Rock Island, etc.)",No firearms in home or vehicles,Locked safe or case (not biometric),,,,,,,,,,,,No,,Yes,Yes,Urban/city,18-29,Android Phone / Tablet,Female,"$10,000-$24,999",East North Central
118440974661,453292315,10/11/2023 02:01:54 PM,10/11/2023 02:02:58 PM,,,,,91dab0dd324ea2925394f926af,smc,Male,55+,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)","Some locked, some unlocked",,,,,,,"Drawer, nightstand or other UNLOCKED area",,,,,No firearms in any household vehicles,No,,Yes,Yes,Suburban,> 60,iOS Phone / Tablet,Male,"$100,000-$124,999",East North Central
118440975256,453292315,10/11/2023 02:01:54 PM,10/11/2023 02:02:51 PM,,,,,e14f1a1d7a279424996d1fad20,smc,Male,35-54,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",No firearms in home or vehicles,"Biometric (fingerprint, etc.) safe",,,,,,,,,,,,No,,No,Yes,Urban/city,30-44,Android Phone / Tablet,Male,"$100,000-$124,999",East North Central
118440973200,453292315,10/11/2023 02:00:27 PM,10/11/2023 02:00:49 PM,,,,,1e083ae57575306b386b752665,smc,Male,21-34,"Central (Peoria, Champaign, Springfield, etc.)",All Unlocked,,Cable lock,,,,,,,,,"Trunk, glovebox, under seat or other hidden but unsecured place",,No,,Yes,No/don't recall,Urban/city,18-29,iOS Phone / Tablet,Male,"$50,000-$74,999",East North Central
118440972998,453292315,10/11/2023 02:00:21 PM,10/11/2023 02:00:38 PM,,,,,d3a260c2950a061ceda6b9dbf5,smc,Male,21-34,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)","Some locked, some unlocked",,,"Biometric (Fingerprint, etc.) safe",,,Other type of lock or safe (including locked cabinet or other locked area),"Drawer, nightstand or other UNLOCKED area",,"Biometric (fingerprint, etc.) safe secured to vehicle",,"Trunk, glovebox, under seat or other hidden but unsecured place",,Yes,Yes,,Yes,Urban/city,18-29,iOS Phone / Tablet,Male,"$200,000+",East North Central
118440972671,453292315,10/11/2023 01:59:28 PM,10/11/2023 02:00:17 PM,,,,,41bb6118430a58738a201d3b0e,smc,Male,35-54,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",All locked,,,,Locked safe or case (not biometric),,,,,,,,No firearms in any household vehicles,Yes,No,,Yes,Suburban,45-60,Android Phone / Tablet,Male,"$175,000-$199,999",East North Central
118440969357,453292315,10/11/2023 01:56:03 PM,10/11/2023 01:56:46 PM,,,,,a5ca7f95887ec429d8d05c11e7,smc,Male,21-34,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",All locked,,,,,,Other type of lock or safe (including locked cabinet or other locked area),,,,,,No firearms in any household vehicles,Yes,No,,Yes,Urban/city,18-29,Android Phone / Tablet,Male,"$10,000-$24,999",East North Central
118440964084,453292315,10/11/2023 01:48:17 PM,10/11/2023 01:51:16 PM,,,,,4ec570259b02902659522daeac,smc,Male,55+,"Central (Peoria, Champaign, Springfield, etc.)",All locked,,Cable lock,,Locked safe or case (not biometric),,,"Drawer, nightstand or other UNLOCKED area",,,Locked safe or case (not biometric) secured to vehicle,,,Yes,Yes,,Yes,Suburban,> 60,iOS Phone / Tablet,Male,"$125,000-$149,999",East North Central
118440963604,453292315,10/11/2023 01:49:57 PM,10/11/2023 01:50:47 PM,,,,,c5a02e4d0614a04343c31e36f2,smc,Male,21-34,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",No firearms in home or vehicles,Locked safe or case (not biometric),,,,,,,,,,,,Yes,No,,Yes,Suburban,30-44,Android Phone / Tablet,Male,"$150,000-$174,999",East North Central
118440961403,453292315,10/11/2023 01:14:00 PM,10/11/2023 01:48:21 PM,,,,,99811ef5cca9864ba9034eaf6d,smc,Female,21-34,"Central (Peoria, Champaign, Springfield, etc.)",No firearms in home or vehicles,"Biometric (fingerprint, etc.) safe",,,,,,,,,,,,No,,Yes,Yes,Suburban,18-29,Android Phone / Tablet,Female,"$75,000-$99,999",East North Central
118440961053,453292315,10/11/2023 01:47:07 PM,10/11/2023 01:47:59 PM,,,,,96dc1d98512068c0cf8663984d,smc,Male,21-34,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",No firearms in home or vehicles,"Biometric (fingerprint, etc.) safe",,,,,,,,,,,,No,,Yes,No/don't recall,Urban/city,30-44,Android Phone / Tablet,Male,"$75,000-$99,999",East North Central
118440954859,453292315,10/11/2023 01:40:05 PM,10/11/2023 01:41:16 PM,,,,,3ed56fd8b1b1ab6c574bbc55c6,smc,Male,35-54,"Central (Peoria, Champaign, Springfield, etc.)",All locked,,Cable lock,,Locked safe or case (not biometric),,,,,,,,No firearms in any household vehicles,Yes,No,,Yes,Rural,45-60,iOS Phone / Tablet,Male,Prefer not to answer,East North Central
118440950715,453292315,10/11/2023 01:35:33 PM,10/11/2023 01:36:54 PM,,,,,59f7bd8758b53cf67d2f001301,smc,Female,21-34,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",All locked,,,,,Trigger Lock,Other type of lock or safe (including locked cabinet or other locked area),,,"Biometric (fingerprint, etc.) safe secured to vehicle",Locked safe or case (not biometric) secured to vehicle,"Trunk, glovebox, under seat or other hidden but unsecured place",,No,,No,Yes,Urban/city,18-29,iOS Phone / Tablet,Female,"$0-$9,999",East North Central
118440949257,453292315,10/11/2023 01:35:02 PM,10/11/2023 01:35:17 PM,,,,,0da5f6a34eda4aaf2f7c0b7ecc,smc,Male,21-34,"Central (Peoria, Champaign, Springfield, etc.)",All locked,,,,,,,"Drawer, nightstand or other UNLOCKED area",,"Biometric (fingerprint, etc.) safe secured to vehicle",,,,Yes,No,,No/don't recall,Suburban,18-29,Android Phone / Tablet,Male,"$125,000-$149,999",East North Central
118440947182,453292315,10/11/2023 01:31:55 PM,10/11/2023 01:33:06 PM,,,,,f9fd5e8560ee1dd6552f1883d1,smc,Female,21-34,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",No firearms in home or vehicles,"Biometric (fingerprint, etc.) safe",,,,,,,,,,,,No,,Yes,Yes,Suburban,18-29,iOS Phone / Tablet,Female,"$25,000-$49,999",East North Central
118440946321,453292315,10/11/2023 01:30:25 PM,10/11/2023 01:32:11 PM,,,,,94d82bccb92130a80f9366c45f,smc,Male,35-54,"Central (Peoria, Champaign, Springfield, etc.)",All locked,,,"Biometric (Fingerprint, etc.) safe",Locked safe or case (not biometric),,,,,,Locked safe or case (not biometric) secured to vehicle,,,Yes,No,,Yes,Suburban,30-44,iOS Phone / Tablet,Male,"$100,000-$124,999",East North Central
118440943394,453292315,10/11/2023 01:28:21 PM,10/11/2023 01:29:03 PM,,,,,7711b503176add3484819fb5e3,smc,Female,21-34,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",No firearms in home or vehicles,Locked safe or case (not biometric),,,,,,,,,,,,Yes,Yes,,Yes,Urban/city,18-29,iOS Phone / Tablet,Female,"$75,000-$99,999",East North Central
118440938617,453292315,10/11/2023 01:22:44 PM,10/11/2023 01:23:56 PM,,,,,21fad63391c6301a5b43ffe8da,smc,Female,21-34,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)","Some locked, some unlocked",,Cable lock,,,Trigger Lock,,"Drawer, nightstand or other UNLOCKED area",,,,,No firearms in any household vehicles,No,,No,Yes,Urban/city,30-44,iOS Phone / Tablet,Female,"$200,000+",East North Central
118440932555,453292315,10/11/2023 01:16:03 PM,10/11/2023 01:17:44 PM,,,,,4280c2ea985195415eb31d1905,smc,Male,35-54,"Southern (Carbondale, Mount Vernon, East St. Louis, etc.)",No firearms in home or vehicles,Locked safe or case (not biometric),,,,,,,,,,,,No,,No,Yes,Rural,30-44,Android Phone / Tablet,Male,"$50,000-$74,999",East North Central
118440932190,453292315,10/11/2023 01:16:51 PM,10/11/2023 01:17:20 PM,,,,,3c3dfb084b0d7281f12f9f0d1a,smc,Female,21-34,"Central (Peoria, Champaign, Springfield, etc.)",All locked,,,"Biometric (Fingerprint, etc.) safe",,,,,,,Locked safe or case (not biometric) secured to vehicle,,,No,,No,Yes,Suburban,18-29,Android Phone / Tablet,Female,"$0-$9,999",East North Central
118440929036,453292315,10/11/2023 01:13:26 PM,10/11/2023 01:14:12 PM,,,,,0ff4307cad28ed5312437356af,smc,Female,35-54,"Central (Peoria, Champaign, Springfield, etc.)",No firearms in home or vehicles,"Biometric (fingerprint, etc.) safe",,,,,,,,,,,,No,,Yes,Yes,Suburban,30-44,Android Phone / Tablet,Female,"$50,000-$74,999",East North Central
118440922602,453292315,10/11/2023 01:06:40 PM,10/11/2023 01:08:09 PM,,,,,8c15e7a124db31fbf4ab60449c,smc,Female,35-54,"Central (Peoria, Champaign, Springfield, etc.)","Some locked, some unlocked",,,,,,Other type of lock or safe (including locked cabinet or other locked area),,,"Biometric (fingerprint, etc.) safe secured to vehicle",Locked safe or case (not biometric) secured to vehicle,"Trunk, glovebox, under seat or other hidden but unsecured place",,No,,No,Yes,Suburban,30-44,iOS Phone / Tablet,Female,"$0-$9,999",East North Central
118440919944,453292315,10/11/2023 01:05:01 PM,10/11/2023 01:06:40 PM,,,,,2a08ed3453a506e620bcdd5ca6,smc,Male,55+,"North West or North Central (Rockford, DeKalb, Moline, Rock Island, etc.)",No firearms in home or vehicles,Other type of lock or safe (including cabinet or other locked area),,,,,,,,,,,,No,,Yes,Yes,Suburban,> 60,Windows Desktop / Laptop,Male,"$200,000+",East North Central
118440918096,453292315,10/11/2023 01:02:09 PM,10/11/2023 01:03:42 PM,,,,,698945a6fe4fbb3e4da775b243,smc,Male,55+,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",No firearms in home or vehicles,"Biometric (fingerprint, etc.) safe",,,,,,,,,,,,No,,No,No/don't recall,Suburban,45-60,iOS Phone / Tablet,Male,"$75,000-$99,999",East North Central
118440915787,453292315,10/11/2023 01:01:22 PM,10/11/2023 01:01:46 PM,,,,,c713224b5a01f2368b76af9be7,smc,Female,35-54,"North West or North Central (Rockford, DeKalb, Moline, Rock Island, etc.)",All locked,,Cable lock,,,,,,,"Biometric (fingerprint, etc.) safe secured to vehicle",,,,Yes,No,,Yes,Rural,30-44,iOS Phone / Tablet,Male,"$75,000-$99,999",East North Central
118440915652,453292315,10/11/2023 01:01:06 PM,10/11/2023 01:01:40 PM,,,,,0d604289728c637f733944d0f0,smc,Male,35-54,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",All locked,,Cable lock,,,Trigger Lock,,,,,,,No firearms in any household vehicles,Yes,No,,Yes,Suburban,30-44,Android Phone / Tablet,Male,"$100,000-$124,999",East North Central
118440913868,453292315,10/11/2023 12:59:44 PM,10/11/2023 01:01:01 PM,,,,,aa42a856adef93837e0a6e5553,smc,Male,55+,"Central (Peoria, Champaign, Springfield, etc.)",No firearms in home or vehicles,Locked safe or case (not biometric),,,,,,,,,,,,No,,No,Yes,Urban/city,> 60,Windows Desktop / Laptop,Male,"$25,000-$49,999",East North Central
118440913737,453292315,10/11/2023 12:59:36 PM,10/11/2023 12:59:56 PM,,,,,9609ebdb1433229587182d9017,smc,Female,35-54,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",All locked,,,,Locked safe or case (not biometric),,,"Drawer, nightstand or other UNLOCKED area",,"Biometric (fingerprint, etc.) safe secured to vehicle",,,,Yes,Yes,,Yes,Urban/city,30-44,iOS Phone / Tablet,Female,"$0-$9,999",East North Central
118440911784,453292315,10/11/2023 12:56:27 PM,10/11/2023 12:58:03 PM,,,,,78cc50417de1ac74a87ee51537,smc,Male,21-34,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",No firearms in home or vehicles,Locked safe or case (not biometric),,,,,,,,,,,,No,,Yes,No/don't recall,Suburban,45-60,Android Phone / Tablet,Male,"$75,000-$99,999",East North Central
118440910729,453292315,10/11/2023 12:55:57 PM,10/11/2023 12:57:01 PM,,,,,2a41ef9b7015d45b4964e3074f,smc,Female,35-54,"North West or North Central (Rockford, DeKalb, Moline, Rock Island, etc.)",All locked,,Cable lock,,,,,,,,,"Trunk, glovebox, under seat or other hidden but unsecured place",No firearms in any household vehicles,Yes,Yes,,No/don't recall,Urban/city,30-44,iOS Phone / Tablet,Female,"$25,000-$49,999",East North Central
118440908789,453292315,10/11/2023 12:51:32 PM,10/11/2023 12:54:57 PM,,,,,8ed1ca615451880d82c79194d4,smc,Male,21-34,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)","Some locked, some unlocked",,Cable lock,,Locked safe or case (not biometric),Trigger Lock,Other type of lock or safe (including locked cabinet or other locked area),"Drawer, nightstand or other UNLOCKED area",,,,"Trunk, glovebox, under seat or other hidden but unsecured place",,Yes,No,,Yes,Suburban,30-44,Android Phone / Tablet,Male,"$150,000-$174,999",East North Central
118440908502,453292315,10/11/2023 12:53:52 PM,10/11/2023 12:54:38 PM,,,,,1654d894c3c396bb8308c4f3d9,smc,Male,35-54,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",All locked,,,"Biometric (Fingerprint, etc.) safe",,,,,,,,,No firearms in any household vehicles,No,,No,Yes,Suburban,30-44,iOS Phone / Tablet,Male,"$75,000-$99,999",East North Central
118440902139,453292315,10/11/2023 12:47:27 PM,10/11/2023 12:48:06 PM,,,,,867385335272f95fd592a6d83e,smc,Female,21-34,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",All locked,,,,Locked safe or case (not biometric),,,,,,Locked safe or case (not biometric) secured to vehicle,,,No,,Yes,Yes,Urban/city,18-29,iOS Phone / Tablet,Female,"$0-$9,999",East North Central
118440901156,453292315,10/11/2023 12:46:19 PM,10/11/2023 12:47:01 PM,,,,,2f067d2a871d3bcbf86a7bc4d9,smc,Female,21-34,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)","Some locked, some unlocked",,,,Locked safe or case (not biometric),,,,,,Locked safe or case (not biometric) secured to vehicle,,,No,,No,Yes,Rural,18-29,iOS Phone / Tablet,Female,"$0-$9,999",East North Central
118440899296,453292315,10/11/2023 12:43:29 PM,10/11/2023 12:45:05 PM,,,,,011f0a09710aad7c6d8bd1e904,smc,Male,21-34,"Central (Peoria, Champaign, Springfield, etc.)",All locked,,,,,Trigger Lock,,,,,,"Trunk, glovebox, under seat or other hidden but unsecured place",,No,,Yes,Yes,Suburban,18-29,iOS Phone / Tablet,Male,"$25,000-$49,999",East North Central
